batter,total_runs,total_balls,strike_rate,total_innings,average_per_innings
A Ashish Reddy,280,196,142.86,23,12.17
A Badoni,634,505,125.54,35,18.11
A Chandila,4,7,57.14,2,2.0
A Chopra,53,75,70.67,6,8.83
A Choudhary,25,20,125.0,3,8.33
A Dananjaya,4,5,80.0,1,4.0
A Flintoff,62,57,108.77,3,20.67
A Kamboj,2,2,100.0,1,2.0
A Kumble,35,49,71.43,15,2.33
A Manohar,231,181,127.62,15,15.4
A Mishra,381,440,86.59,55,6.93
A Mithun,34,26,130.77,6,5.67
A Mukund,19,23,82.61,2,9.5
A Nehra,41,63,65.08,17,2.41
A Nortje,49,51,96.08,13,3.77
A Raghuvanshi,163,109,149.54,7,23.29
A Singh,2,10,20.0,5,0.4
A Symonds,974,781,124.71,36,27.06
A Tomar,4,8,50.0,1,4.0
A Uniyal,4,7,57.14,2,2.0
A Zampa,15,25,60.0,5,3.0
AA Bilakhia,69,88,78.41,7,9.86
AA Chavan,12,11,109.09,3,4.0
AA Jhunjhunwala,217,218,99.54,15,14.47
AA Kulkarni,9,8,112.5,2,4.5
AA Noffke,9,12,75.0,1,9.0
AB Agarkar,179,160,111.87,18,9.94
AB Barath,42,43,97.67,3,14.0
AB Dinda,26,50,52.0,16,1.62
AB McDonald,123,103,119.42,9,13.67
AB de Villiers,5181,3487,148.58,170,30.48
AC Blizzard,120,91,131.87,7,17.14
AC Gilchrist,2069,1555,133.05,80,25.86
AC Thomas,20,19,105.26,4,5.0
AC Voges,181,143,126.57,7,25.86
AD Hales,148,119,124.37,6,24.67
AD Mascarenhas,79,79,100.0,11,7.18
AD Mathews,724,599,120.87,41,17.66
AD Nath,90,99,90.91,10,9.0
AD Russell,2488,1515,164.22,104,23.92
AF Milne,23,31,74.19,6,3.83
AG Murtaza,10,14,71.43,3,3.33
AG Paunikar,49,61,80.33,5,9.8
AJ Finch,2092,1696,123.35,90,23.24
AJ Hosein,16,11,145.45,1,16.0
AJ Turner,24,31,77.42,6,4.0
AJ Tye,91,79,115.19,13,7.0
AK Markram,995,787,126.43,42,23.69
AL Menaria,401,367,109.26,23,17.43
AM Nayar,672,588,114.29,50,13.44
AM Rahane,4642,3858,120.32,171,27.15
AN Ahmed,36,27,133.33,6,6.0
AN Ghosh,7,8,87.5,2,3.5
AP Dole,34,23,147.83,2,17.0
AP Majumdar,87,77,112.99,4,21.75
AP Tare,339,285,118.95,27,12.56
AR Bawne,12,12,100.0,1,12.0
AR Patel,1653,1318,125.42,112,14.76
AS Joseph,27,32,84.38,5,5.4
AS Rajpoot,26,41,63.41,7,3.71
AS Raut,194,172,112.79,16,12.12
AS Roy,26,24,108.33,6,4.33
AS Yadav,49,40,122.5,6,8.17
AT Carey,32,29,110.34,3,10.67
AT Rayudu,4348,3490,124.58,185,23.5
AU Rashid,22,17,129.41,2,11.0
AUK Pathan,39,26,150.0,7,5.57
Abdul Basith,1,1,100.0,1,1.0
Abdul Samad,579,408,141.91,39,14.85
Abdur Razzak,0,2,0.0,1,0.0
Abhishek Sharma,1377,925,148.86,61,22.57
Abishek Porel,360,244,147.54,16,22.5
Akash Deep,19,12,158.33,3,6.33
Akash Madhwal,4,5,80.0,1,4.0
Aman Hakim Khan,115,109,105.5,10,11.5
Anirudh Singh,63,69,91.3,4,15.75
Ankit Sharma,87,69,126.09,10,8.7
Ankit Soni,7,9,77.78,3,2.33
Anmolpreet Singh,139,117,118.8,9,15.44
Anuj Rawat,318,276,115.22,21,15.14
Anureet Singh,36,47,76.6,8,4.5
Arjun Tendulkar,13,9,144.44,1,13.0
Arshad Khan,96,67,143.28,6,16.0
