match_id,batter,runs_scored,balls_faced,fours,sixes,scored_30_plus,bowling_team,avg_vs_opponent,strike_rate,average_per_innings
335982,AA Noffke,9,12,1,0,0,Kolkata Knight Riders,0.0,75.0,9.0
335982,Z Khan,3,8,0,0,0,Kolkata Knight Riders,0.0,82.98,4.33
335982,W Jaffer,6,18,0,0,0,Kolkata Knight Riders,0.0,100.78,16.25
335982,V Kohli,1,5,0,0,0,Kolkata Knight Riders,0.0,128.51,32.84
335982,SC Ganguly,10,12,2,0,0,Royal Challengers Bengaluru,0.0,101.73,24.09
335982,SB Joshi,3,8,0,0,0,Kolkata Knight Riders,0.0,37.5,3.0
335982,R Dravid,2,3,0,0,0,Kolkata Knight Riders,0.0,113.35,26.51
335982,P Kumar,18,17,1,2,0,Kolkata Knight Riders,0.0,105.26,5.96
335982,RT Ponting,20,20,1,1,0,Royal Challengers Bengaluru,0.0,70.54,10.11
335982,MV Boucher,7,11,1,0,0,Kolkata Knight Riders,0.0,123.9,17.13
335982,JH Kallis,8,7,0,1,0,Kolkata Knight Riders,0.0,105.94,25.55
335982,DJ Hussey,12,12,1,0,0,Royal Challengers Bengaluru,0.0,120.07,21.67
335982,CL White,6,10,0,0,0,Kolkata Knight Riders,0.0,125.45,21.58
335982,BB McCullum,158,77,10,13,1,Royal Challengers Bengaluru,0.0,126.85,26.44
335982,B Akhil,0,2,0,0,0,Kolkata Knight Riders,0.0,133.33,6.91
335982,Mohammad Hafeez,5,3,1,0,0,Royal Challengers Bengaluru,0.0,76.19,8.0
335983,PA Patel,15,11,3,0,0,Punjab Kings,0.0,116.63,20.94
335983,Yuvraj Singh,23,13,1,2,0,Chennai Super Kings,0.0,124.78,21.86
335983,SM Katich,21,17,0,1,0,Chennai Super Kings,0.0,126.18,21.91
335983,SK Raina,32,14,2,3,1,Punjab Kings,0.0,132.54,27.68
335983,S Badrinath,31,14,3,2,1,Punjab Kings,0.0,115.74,22.17
335983,MS Dhoni,2,3,0,0,0,Punjab Kings,0.0,132.84,23.0
335983,JDP Oram,13,11,0,1,0,Punjab Kings,0.0,96.36,9.64
335983,MEK Hussey,116,54,8,9,1,Punjab Kings,0.0,119.96,34.09
335983,KC Sangakkara,54,35,5,2,1,Chennai Super Kings,0.0,118.47,24.81
335983,K Goel,24,20,2,1,0,Chennai Super Kings,0.0,91.21,13.62
335983,JR Hopes,71,34,10,3,1,Chennai Super Kings,0.0,132.8,21.95
335983,IK Pathan,3,5,0,0,0,Chennai Super Kings,0.0,116.75,14.02
335983,ML Hayden,25,17,4,1,0,Punjab Kings,0.0,131.94,34.59
335984,SK Warne,14,13,2,0,0,Delhi Capitals,0.0,90.41,7.33
335984,YK Pathan,10,5,2,0,0,Delhi Capitals,0.0,138.05,21.06
335984,V Sehwag,12,4,3,0,0,Rajasthan Royals,0.0,148.83,26.23
335984,T Kohli,7,13,0,1,0,Delhi Capitals,0.0,55.0,3.67
335984,SR Watson,21,15,4,0,0,Delhi Capitals,0.0,134.16,27.52
335984,SK Trivedi,3,7,0,0,0,Delhi Capitals,0.0,68.85,3.0
335984,M Kaif,9,19,0,0,0,Delhi Capitals,0.0,100.39,11.77
335984,RA Jadeja,29,24,2,2,0,Delhi Capitals,0.0,124.43,16.44
335984,M Rawat,2,4,0,0,0,Delhi Capitals,0.0,78.57,5.0
335984,G Gambhir,58,49,7,1,1,Rajasthan Royals,0.0,119.67,27.93
335984,DS Lehmann,1,2,0,0,0,Delhi Capitals,0.0,94.74,9.0
335984,D Salunkhe,26,20,4,0,0,Delhi Capitals,0.0,137.5,11.0
335984,S Dhawan,52,44,8,0,1,Rajasthan Royals,0.0,123.45,30.63
335985,V Kohli,23,15,3,1,0,Mumbai Indians,0.0,128.51,32.84
335985,ST Jayasuriya,29,17,5,1,0,Royal Challengers Bengaluru,0.0,134.03,25.6
335985,SM Pollock,28,12,3,2,0,Royal Challengers Bengaluru,0.0,126.72,18.38
335985,S Chanderpaul,16,12,3,0,0,Mumbai Indians,0.0,75.76,8.33
335985,RV Uthappa,48,38,5,1,1,Royal Challengers Bengaluru,0.0,126.15,25.15
335985,R Dravid,32,33,4,0,1,Mumbai Indians,0.0,113.35,26.51
335985,MV Boucher,39,20,4,2,1,Mumbai Indians,0.0,123.9,17.13
335985,PR Shah,19,23,2,0,0,Royal Challengers Bengaluru,0.0,94.85,10.22
335985,L Ronchi,8,10,2,0,0,Royal Challengers Bengaluru,0.0,91.89,6.8
335985,JH Kallis,25,24,0,1,0,Mumbai Indians,0.0,105.94,25.55
335985,Harbhajan Singh,2,2,0,0,0,Royal Challengers Bengaluru,0.0,130.97,9.47
335985,DJ Thornely,0,6,0,0,0,Royal Challengers Bengaluru,0.0,72.22,9.75
335985,B Akhil,3,6,0,0,0,Mumbai Indians,0.0,133.33,6.91
335985,AM Nayar,20,15,1,1,0,Royal Challengers Bengaluru,0.0,114.29,13.44
